ID,f (MHz),∆f (MHz),∆m (g),Mass (g)
1,1.694,7.43e-9,5e-13,1.14e-4
2,1.694,7.43e-9,5e-13,1.14e-4
3,1.694,7.43e-9,5e-13,1.14e-4
4,1.694,7.43e-9,5e-13,1.14e-4
5,1.694,7.43e-9,5e-13,1.14e-4
6,1.694,7.43e-9,5e-13,1.14e-4
7,1.694,7.43e-9,5e-13,1.14e-4
8,1.694,7.43e-9,5e-13,1.14e-4
9,1.694,7.43e-9,5e-13,1.14e-4
10,1.694,7.43e-9,5e-13,1.14e-4
11,1.694,7.43e-9,5e-13,1.14e-4
12,1.694,7.43e-9,5e-13,1.14e-4
13,1.694,7.43e-9,5e-13,1.14e-4
14,1.694,7.43e-9,5e-13,1.14e-4
15,1.694,7.43e-9,5e-13,1.14e-4
16,1.694,7.43e-9,5e-13,1.14e-4
17,1.694,7.43e-9,5e-13,1.14e-4
18,1.694,7.43e-9,5e-13,1.14e-4
19,1.694,7.43e-9,5e-13,1.14e-4
20,1.694,7.43e-9,5e-13,1.14e-4
21,1.694,7.43e-9,5e-13,1.14e-4
22,1.694,7.43e-9,5e-13,1.14e-4
23,1.694,7.43e-9,5e-13,1.14e-4
24,1.694,7.43e-9,5e-13,1.14e-4
25,1.694,7.43e-9,5e-13,1.14e-4
26,1.694,7.43e-9,5e-13,1.14e-4
27,1.694,7.43e-9,5e-13,1.14e-4
28,1.694,7.43e-9,5e-13,1.14e-4
29,1.694,7.43e-9,5e-13,1.14e-4
30,1.694,7.43e-9,5e-13,1.14e-4
31,1.694,7.43e-9,5e-13,1.14e-4
32,1.694,7.43e-9,5e-13,1.14e-4
33,1.694,7.43e-9,5e-13,1.14e-4
34,1.694,7.43e-9,5e-13,1.14e-4
35,1.694,7.43e-9,5e-13,1.14e-4
36,1.694,7.43e-9,5e-13,1.14e-4
37,1.694,7.43e-9,5e-13,1.14e-4
38,1.694,7.43e-9,5e-13,1.14e-4
39,1.694,7.43e-9,5e-13,1.14e-4
40,1.694,7.43e-9,5e-13,1.14e-4
41,1.694,7.43e-9,5e-13,1.14e-4
42,1.694,7.43e-9,5e-13,1.14e-4
43,1.694,7.43e-9,5e-13,1.14e-4
44,1.694,7.43e-9,5e-13,1.14e-4
45,1.694,7.43e-9,5e-13,1.14e-4
46,1.694,7.43e-9,5e-13,1.14e-4
47,1.694,7.43e-9,5e-13,1.14e-4
48,1.694,7.43e-9,5e-13,1.14e-4
49,1.694,7.43e-9,5e-13,1.14e-4
50,1.694,7.43e-9,5e-13,1.14e-4
51,1.694,7.43e-9,5e-13,1.14e-4
52,1.694,7.43e-9,5e-13,1.14e-4
53,1.694,7.43e-9,5e-13,1.14e-4
54,1.694,7.43e-9,5e-13,1.14e-4
55,1.694,7.43e-9,5e-13,1.14e-4
56,1.694,7.43e-9,5e-13,1.14e-4
57,1.694,7.43e-9,5e-13,1.14e-4
58,1.694,7.43e-9,5e-13,1.14e-4
59,1.694,7.43e-9,5e-13,1.14e-4
60,1.694,7.43e-9,5e-13,1.14e-4
61,1.694,7.43e-9,5e-13,1.14e-4
62,1.694,7.43e-9,5e-13,1.14e-4
63,1.694,7.43e-9,5e-13,1.14e-4
64,1.694,7.43e-9,5e-13,1.14e-4
65,1.694,7.43e-9,5e-13,1.14e-4
66,1.694,7.43e-9,5e-13,1.14e-4
67,1.694,7.43e-9,5e-13,1.14e-4
68,1.694,7.43e-9,5e-13,1.14e-4
69,1.694,7.43e-9,5e-13,1.14e-4
70,1.694,7.43e-9,5e-13,1.14e-4
71,1.694,7.43e-9,5e-13,1.14e-4
72,1.694,7.43e-9,5e-13,1.14e-4
73,1.694,7.43e-9,5e-13,1.14e-4
74,1.694,7.43e-9,5e-13,1.14e-4
75,1.694,7.43e-9,5e-13,1.14e-4
76,1.694,7.43e-9,5e-13,1.14e-4
77,1.694,7.43e-9,5e-13,1.14e-4
78,1.694,7.43e-9,5e-13,1.14e-4
79,1.694,7.43e-9,5e-13,1.14e-4
80,1.694,7.43e-9,5e-13,1.14e-4
81,1.694,7.43e-9,5e-13,1.14e-4
82,1.694,7.43e-9,5e-13,1.14e-4
83,1.694,7.43e-9,5e-13,1.14e-4
84,1.694,7.43e-9,5e-13,1.14e-4
85,1.694,7.43e-9,5e-13,1.14e-4
86,1.694,7.43e-9,5e-13,1.14e-4
87,1.694,7.43e-9,5e-13,1.14e-4
88,1.694,7.43e-9,5e-13,1.14e-4
89,1.694,7.43e-9,5e-13,1.14e-4
90,1.694,7.43e-9,5e-13,1.14e-4
91,1.694,7.43e-9,5e-13,1.14e-4
92,1.694,7.43e-9,5e-13,1.14e-4
93,1.694,7.43e-9,5e-13,1.14e-4
94,1.694,7.43e-9,5e-13,1.14e-4
95,1.694,7.43e-9,5e-13,1.14e-4
96,1.694,7.43e-9,5e-13,1.14e-4
97,1.694,7.43e-9,5e-13,1.14e-4
98,1.694,7.43e-9,5e-13,1.14e-4
99,1.694,7.43e-9,5e-13,1.14e-4
100,1.694,7.43e-9,5e-13,1.14e-4
