ID,Virus,Antibody,Antigen,Mass (fg)
1,COVID‑19 (SARS‑CoV‑2),Anti‑Spike IgG,Spike (S1),0.00018
2,Influenza A (H1N1),Anti‑HA,Hemagglutinin (HA),0.000084
3,Influenza A (H3N2),Anti‑HA,Hemagglutinin,0.000084
4,Influenza B,Anti‑HA,Hemagglutinin,0.000084
5,SARS‑CoV‑1,Anti‑Spike IgG,Spike,0.00018
6,MERS‑CoV,Anti‑Spike IgG,Spike,0.0002
7,RSV‑A,Anti‑F protein,Fusion (F),0.00007
8,RSV‑B,Anti‑G protein,Attachment (G),0.00009
9,Rhinovirus A,Anti‑VP1,VP1,0.00003
10,Rhinovirus B,Anti‑VP1,VP1,0.00003
11,Rhinovirus C,Anti‑VP1,VP1,0.00003
12,Adenovirus 3,Anti‑Hexon,Hexon,0.00012
13,Adenovirus 5,Anti‑Hexon,Hexon,0.00012
14,Adenovirus 7,Anti‑Fiber,Fiber protein,0.00006
15,Parainfluenza 1,Anti‑HN,Hemagglutinin‑neuraminidase,0.000075
16,Parainfluenza 2,Anti‑HN,HN protein,0.000075
17,Parainfluenza 3,Anti‑F,Fusion protein,0.00007
18,Parainfluenza 4,Anti‑HN,HN protein,0.000075
19,Human Metapneumovirus,Anti‑F,Fusion protein,0.00007
20,Measles virus,Anti‑H,Hemagglutinin,0.00008
21,Mumps virus,Anti‑HN,HN protein,0.000075
22,Rubella virus,Anti‑E1,E1 glycoprotein,0.00006
23,Varicella‑Zoster,Anti‑gE,Glycoprotein E,0.00009
24,Cytomegalovirus,Anti‑gB,Glycoprotein B,0.00011
25,Epstein‑Barr virus,Anti‑gp350,gp350,0.00015
26,Human Bocavirus,Anti‑VP1,VP1,0.00003
27,Enterovirus D68,Anti‑VP1,VP1,0.00003
28,Enterovirus A71,Anti‑VP1,VP1,0.00003
29,Hantavirus,Anti‑Gn,Gn glycoprotein,0.0001
30,Lassa virus,Anti‑GP1,GP1,0.00006
31,Nipah virus,Anti‑G,Glycoprotein G,0.00009
32,Hendra virus,Anti‑G,Glycoprotein G,0.00009
33,SARS‑CoV‑2 Omicron,Anti‑Spike IgG,Spike,0.00018
