Virus ID,Virus,Antibody,Antigen,mass_fg,device_id,device_sensitivity_fg,virus_count_original,virus_count_computed
1,COVID‑19 (SARS‑CoV‑2),Anti‑Spike IgG,Spike (S1),0.00018,1,1200,6666666.667,6666666.667
2,Influenza A (H1N1),Anti‑HA,Hemagglutinin (HA),0.000084,1,1200,14285714.29,14285714.29
3,Influenza A (H3N2),Anti‑HA,Hemagglutinin,0.000084,1,1200,14285714.29,14285714.29
4,Influenza B,Anti‑HA,Hemagglutinin,0.000084,1,1200,14285714.29,14285714.29
5,SARS‑CoV‑1,Anti‑Spike IgG,Spike,0.00018,1,1200,6666666.667,6666666.667
6,MERS‑CoV,Anti‑Spike IgG,Spike,0.0002,1,1200,6000000,6000000
7,RSV‑A,Anti‑F protein,Fusion (F),0.00007,1,1200,17142857.14,17142857.14
8,RSV‑B,Anti‑G protein,Attachment (G),0.00009,1,1200,13333333.33,13333333.33
9,Rhinovirus A,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
10,Rhinovirus B,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
11,Rhinovirus C,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
12,Adenovirus 3,Anti‑Hexon,Hexon,0.00012,1,1200,10000000,10000000
13,Adenovirus 5,Anti‑Hexon,Hexon,0.00012,1,1200,10000000,10000000
14,Adenovirus 7,Anti‑Fiber,Fiber protein,0.00006,1,1200,20000000,20000000
15,Parainfluenza 1,Anti‑HN,Hemagglutinin‑neuraminidase,0.000075,1,1200,16000000,16000000
16,Parainfluenza 2,Anti‑HN,HN protein,0.000075,1,1200,16000000,16000000
17,Parainfluenza 3,Anti‑F,Fusion protein,0.00007,1,1200,17142857.14,17142857.14
18,Parainfluenza 4,Anti‑HN,HN protein,0.000075,1,1200,16000000,16000000
19,Human Metapneumovirus,Anti‑F,Fusion protein,0.00007,1,1200,17142857.14,17142857.14
20,Measles virus,Anti‑H,Hemagglutinin,0.00008,1,1200,15000000,15000000
21,Mumps virus,Anti‑HN,HN protein,0.000075,1,1200,16000000,16000000
22,Rubella virus,Anti‑E1,E1 glycoprotein,0.00006,1,1200,20000000,20000000
23,Varicella‑Zoster,Anti‑gE,Glycoprotein E,0.00009,1,1200,13333333.33,13333333.33
24,Cytomegalovirus,Anti‑gB,Glycoprotein B,0.00011,1,1200,10909090.91,10909090.91
25,Epstein‑Barr virus,Anti‑gp350,gp350,0.00015,1,1200,8000000,8000000
26,Human Bocavirus,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
27,Enterovirus D68,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
28,Enterovirus A71,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
29,Hantavirus,Anti‑Gn,Gn glycoprotein,0.0001,1,1200,12000000,12000000
30,Lassa virus,Anti‑GP1,GP1,0.00006,1,1200,20000000,20000000
31,Nipah virus,Anti‑G,Glycoprotein G,0.00009,1,1200,13333333.33,13333333.33
32,Hendra virus,Anti‑G,Glycoprotein G,0.00009,1,1200,13333333.33,13333333.33
33,SARS‑CoV‑2 Omicron,Anti‑Spike IgG,Spike,0.00018,1,1200,6666666.667,6666666.667
34,SARS‑CoV‑2 Delta,Anti‑Spike IgG,Spike,0.00018,1,1200,6666666.667,6666666.667
35,SARS‑CoV‑2 Alpha,Anti‑Spike IgG,Spike,0.00018,1,1200,6666666.667,6666666.667
36,SARS‑CoV‑2 Beta,Anti‑Spike IgG,Spike,0.00018,1,1200,6666666.667,6666666.667
37,SARS‑CoV‑2 Gamma,Anti‑Spike IgG,Spike,0.00018,1,1200,6666666.667,6666666.667
38,Human Coronavirus 229E,Anti‑S,Spike,0.00015,1,1200,8000000,8000000
39,Human Coronavirus NL63,Anti‑S,Spike,0.00015,1,1200,8000000,8000000
40,Human Coronavirus OC43,Anti‑S,Spike,0.00015,1,1200,8000000,8000000
41,Human Coronavirus HKU1,Anti‑S,Spike,0.00015,1,1200,8000000,8000000
42,Influenza C,Anti‑HEF,HEF protein,0.00009,1,1200,13333333.33,13333333.33
43,Influenza D,Anti‑HEF,HEF protein,0.00009,1,1200,13333333.33,13333333.33
44,Human Parechovirus,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
45,Human Polyomavirus,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
46,Human Mastadenovirus C,Anti‑Hexon,Hexon,0.00012,1,1200,10000000,10000000
47,Human Mastadenovirus B,Anti‑Fiber,Fiber,0.00006,1,1200,20000000,20000000
48,Human Mastadenovirus E,Anti‑Penton,Penton,0.0001,1,1200,12000000,12000000
49,Human Astrovirus,Anti‑Capsid,Capsid,0.00003,1,1200,40000000,40000000
50,Norovirus GII,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
51,Norovirus GI,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
52,Rotavirus A,Anti‑VP7,VP7,0.0001,1,1200,12000000,12000000
53,Rotavirus B,Anti‑VP4,VP4,0.00009,1,1200,13333333.33,13333333.33
54,Rotavirus C,Anti‑VP6,VP6,0.00008,1,1200,15000000,15000000
55,Human Reovirus,Anti‑σ1,Sigma‑1,0.00005,1,1200,24000000,24000000
56,Human Orthopneumovirus,Anti‑F,Fusion protein,0.00007,1,1200,17142857.14,17142857.14
57,Human Respirovirus,Anti‑HN,HN protein,0.000075,1,1200,16000000,16000000
58,Human Rubulavirus,Anti‑HN,HN protein,0.000075,1,1200,16000000,16000000
59,Human Morbillivirus,Anti‑H,Hemagglutinin,0.00008,1,1200,15000000,15000000
60,Human Alphavirus,Anti‑E2,E2 glycoprotein,0.00005,1,1200,24000000,24000000
61,Human Betacoronavirus,Anti‑S,Spike,0.00015,1,1200,8000000,8000000
62,Human Gammacoronavirus,Anti‑S,Spike,0.00015,1,1200,8000000,8000000
63,Human Deltacoronavirus,Anti‑S,Spike,0.00015,1,1200,8000000,8000000
64,Avian Influenza H5N1,Anti‑HA,Hemagglutinin,0.000084,1,1200,14285714.29,14285714.29
65,Avian Influenza H7N9,Anti‑HA,Hemagglutinin,0.000084,1,1200,14285714.29,14285714.29
66,Avian Influenza H9N2,Anti‑HA,Hemagglutinin,0.000084,1,1200,14285714.29,14285714.29
67,Canine Influenza H3N8,Anti‑HA,Hemagglutinin,0.000084,1,1200,14285714.29,14285714.29
68,Swine Influenza H1N2,Anti‑HA,Hemagglutinin,0.000084,1,1200,14285714.29,14285714.29
69,Swine Influenza H3N2,Anti‑HA,Hemagglutinin,0.000084,1,1200,14285714.29,14285714.29
70,Human Enterovirus C,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
71,Human Enterovirus B,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
72,Human Enterovirus A,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
73,Human Coxsackievirus A,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
74,Human Coxsackievirus B,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
75,Human Echovirus,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
76,Human Parechovirus 3,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
77,Human Orthobunyavirus,Anti‑Gc,Gc protein,0.00009,1,1200,13333333.33,13333333.33
78,Human Phlebovirus,Anti‑Gn,Gn protein,0.0001,1,1200,12000000,12000000
79,Human Arenavirus,Anti‑GP1,GP1,0.00006,1,1200,20000000,20000000
80,Human Bornavirus,Anti‑G,Glycoprotein G,0.00009,1,1200,13333333.33,13333333.33
81,Human Torovirus,Anti‑S,Spike,0.00015,1,1200,8000000,8000000
82,Human Hepatitis A (airborne rare),Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
83,Human Hepatitis E (airborne rare),Anti‑ORF2,ORF2 capsid,0.00008,1,1200,15000000,15000000
84,Human Polyomavirus KI,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
85,Human Polyomavirus WU,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
86,Human Parvovirus B19,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
87,Human Torque Teno Virus,Anti‑Capsid,Capsid,0.00002,1,1200,60000000,60000000
88,Human Sapovirus,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
89,Human Aichivirus,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
90,Human Cardiovirus,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
91,Human Kobuvirus,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
92,Human Salivirus,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
93,Human Cosavirus,Anti‑VP1,VP1,0.00003,1,1200,40000000,40000000
