Virus ID,Virus,Antibody,Antigen,mass_fg,device_id,device_sensitivity_fg,virus_count_original,virus_count_computed
1,COVID‑19 (SARS‑CoV‑2),Anti‑Spike IgG,Spike (S1),0.00018,4,700,3888888.889,3888888.889
2,Influenza A (H1N1),Anti‑HA,Hemagglutinin (HA),0.000084,4,700,8333333.333,8333333.333
3,Influenza A (H3N2),Anti‑HA,Hemagglutinin,0.000084,4,700,8333333.333,8333333.333
4,Influenza B,Anti‑HA,Hemagglutinin,0.000084,4,700,8333333.333,8333333.333
5,SARS‑CoV‑1,Anti‑Spike IgG,Spike,0.00018,4,700,3888888.889,3888888.889
6,MERS‑CoV,Anti‑Spike IgG,Spike,0.0002,4,700,3500000,3500000
7,RSV‑A,Anti‑F protein,Fusion (F),0.00007,4,700,10000000,10000000
8,RSV‑B,Anti‑G protein,Attachment (G),0.00009,4,700,7777777.778,7777777.778
9,Rhinovirus A,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
10,Rhinovirus B,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
11,Rhinovirus C,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
12,Adenovirus 3,Anti‑Hexon,Hexon,0.00012,4,700,5833333.333,5833333.333
13,Adenovirus 5,Anti‑Hexon,Hexon,0.00012,4,700,5833333.333,5833333.333
14,Adenovirus 7,Anti‑Fiber,Fiber protein,0.00006,4,700,11666666.67,11666666.67
15,Parainfluenza 1,Anti‑HN,Hemagglutinin‑neuraminidase,0.000075,4,700,9333333.333,9333333.333
16,Parainfluenza 2,Anti‑HN,HN protein,0.000075,4,700,9333333.333,9333333.333
17,Parainfluenza 3,Anti‑F,Fusion protein,0.00007,4,700,10000000,10000000
18,Parainfluenza 4,Anti‑HN,HN protein,0.000075,4,700,9333333.333,9333333.333
19,Human Metapneumovirus,Anti‑F,Fusion protein,0.00007,4,700,10000000,10000000
20,Measles virus,Anti‑H,Hemagglutinin,0.00008,4,700,8750000,8750000
21,Mumps virus,Anti‑HN,HN protein,0.000075,4,700,9333333.333,9333333.333
22,Rubella virus,Anti‑E1,E1 glycoprotein,0.00006,4,700,11666666.67,11666666.67
23,Varicella‑Zoster,Anti‑gE,Glycoprotein E,0.00009,4,700,7777777.778,7777777.778
24,Cytomegalovirus,Anti‑gB,Glycoprotein B,0.00011,4,700,6363636.364,6363636.364
25,Epstein‑Barr virus,Anti‑gp350,gp350,0.00015,4,700,4666666.667,4666666.667
26,Human Bocavirus,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
27,Enterovirus D68,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
28,Enterovirus A71,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
29,Hantavirus,Anti‑Gn,Gn glycoprotein,0.0001,4,700,7000000,7000000
30,Lassa virus,Anti‑GP1,GP1,0.00006,4,700,11666666.67,11666666.67
31,Nipah virus,Anti‑G,Glycoprotein G,0.00009,4,700,7777777.778,7777777.778
32,Hendra virus,Anti‑G,Glycoprotein G,0.00009,4,700,7777777.778,7777777.778
33,SARS‑CoV‑2 Omicron,Anti‑Spike IgG,Spike,0.00018,4,700,3888888.889,3888888.889
34,SARS‑CoV‑2 Delta,Anti‑Spike IgG,Spike,0.00018,4,700,3888888.889,3888888.889
35,SARS‑CoV‑2 Alpha,Anti‑Spike IgG,Spike,0.00018,4,700,3888888.889,3888888.889
36,SARS‑CoV‑2 Beta,Anti‑Spike IgG,Spike,0.00018,4,700,3888888.889,3888888.889
37,SARS‑CoV‑2 Gamma,Anti‑Spike IgG,Spike,0.00018,4,700,3888888.889,3888888.889
38,Human Coronavirus 229E,Anti‑S,Spike,0.00015,4,700,4666666.667,4666666.667
39,Human Coronavirus NL63,Anti‑S,Spike,0.00015,4,700,4666666.667,4666666.667
40,Human Coronavirus OC43,Anti‑S,Spike,0.00015,4,700,4666666.667,4666666.667
41,Human Coronavirus HKU1,Anti‑S,Spike,0.00015,4,700,4666666.667,4666666.667
42,Influenza C,Anti‑HEF,HEF protein,0.00009,4,700,7777777.778,7777777.778
43,Influenza D,Anti‑HEF,HEF protein,0.00009,4,700,7777777.778,7777777.778
44,Human Parechovirus,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
45,Human Polyomavirus,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
46,Human Mastadenovirus C,Anti‑Hexon,Hexon,0.00012,4,700,5833333.333,5833333.333
47,Human Mastadenovirus B,Anti‑Fiber,Fiber,0.00006,4,700,11666666.67,11666666.67
48,Human Mastadenovirus E,Anti‑Penton,Penton,0.0001,4,700,7000000,7000000
49,Human Astrovirus,Anti‑Capsid,Capsid,0.00003,4,700,23333333.33,23333333.33
50,Norovirus GII,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
51,Norovirus GI,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
52,Rotavirus A,Anti‑VP7,VP7,0.0001,4,700,7000000,7000000
53,Rotavirus B,Anti‑VP4,VP4,0.00009,4,700,7777777.778,7777777.778
54,Rotavirus C,Anti‑VP6,VP6,0.00008,4,700,8750000,8750000
55,Human Reovirus,Anti‑σ1,Sigma‑1,0.00005,4,700,14000000,14000000
56,Human Orthopneumovirus,Anti‑F,Fusion protein,0.00007,4,700,10000000,10000000
57,Human Respirovirus,Anti‑HN,HN protein,0.000075,4,700,9333333.333,9333333.333
58,Human Rubulavirus,Anti‑HN,HN protein,0.000075,4,700,9333333.333,9333333.333
59,Human Morbillivirus,Anti‑H,Hemagglutinin,0.00008,4,700,8750000,8750000
60,Human Alphavirus,Anti‑E2,E2 glycoprotein,0.00005,4,700,14000000,14000000
61,Human Betacoronavirus,Anti‑S,Spike,0.00015,4,700,4666666.667,4666666.667
62,Human Gammacoronavirus,Anti‑S,Spike,0.00015,4,700,4666666.667,4666666.667
63,Human Deltacoronavirus,Anti‑S,Spike,0.00015,4,700,4666666.667,4666666.667
64,Avian Influenza H5N1,Anti‑HA,Hemagglutinin,0.000084,4,700,8333333.333,8333333.333
65,Avian Influenza H7N9,Anti‑HA,Hemagglutinin,0.000084,4,700,8333333.333,8333333.333
66,Avian Influenza H9N2,Anti‑HA,Hemagglutinin,0.000084,4,700,8333333.333,8333333.333
67,Canine Influenza H3N8,Anti‑HA,Hemagglutinin,0.000084,4,700,8333333.333,8333333.333
68,Swine Influenza H1N2,Anti‑HA,Hemagglutinin,0.000084,4,700,8333333.333,8333333.333
69,Swine Influenza H3N2,Anti‑HA,Hemagglutinin,0.000084,4,700,8333333.333,8333333.333
70,Human Enterovirus C,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
71,Human Enterovirus B,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
72,Human Enterovirus A,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
73,Human Coxsackievirus A,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
74,Human Coxsackievirus B,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
75,Human Echovirus,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
76,Human Parechovirus 3,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
77,Human Orthobunyavirus,Anti‑Gc,Gc protein,0.00009,4,700,7777777.778,7777777.778
78,Human Phlebovirus,Anti‑Gn,Gn protein,0.0001,4,700,7000000,7000000
79,Human Arenavirus,Anti‑GP1,GP1,0.00006,4,700,11666666.67,11666666.67
80,Human Bornavirus,Anti‑G,Glycoprotein G,0.00009,4,700,7777777.778,7777777.778
81,Human Torovirus,Anti‑S,Spike,0.00015,4,700,4666666.667,4666666.667
82,Human Hepatitis A (airborne rare),Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
83,Human Hepatitis E (airborne rare),Anti‑ORF2,ORF2 capsid,0.00008,4,700,8750000,8750000
84,Human Polyomavirus KI,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
85,Human Polyomavirus WU,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
86,Human Parvovirus B19,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
87,Human Torque Teno Virus,Anti‑Capsid,Capsid,0.00002,4,700,35000000,35000000
88,Human Sapovirus,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
