Virus ID,Virus,Antibody,Antigen,mass_fg,device_id,device_sensitivity_fg,virus_count_original,virus_count_computed
1,COVID‑19 (SARS‑CoV‑2),Anti‑Spike IgG,Spike (S1),0.00018,5,500,2777777.778,2777777.778
2,Influenza A (H1N1),Anti‑HA,Hemagglutinin (HA),0.000084,5,500,5952380.952,5952380.952
3,Influenza A (H3N2),Anti‑HA,Hemagglutinin,0.000084,5,500,5952380.952,5952380.952
4,Influenza B,Anti‑HA,Hemagglutinin,0.000084,5,500,5952380.952,5952380.952
5,SARS‑CoV‑1,Anti‑Spike IgG,Spike,0.00018,5,500,2777777.778,2777777.778
6,MERS‑CoV,Anti‑Spike IgG,Spike,0.0002,5,500,2500000,2500000
7,RSV‑A,Anti‑F protein,Fusion (F),0.00007,5,500,7142857.143,7142857.143
8,RSV‑B,Anti‑G protein,Attachment (G),0.00009,5,500,5555555.556,5555555.556
9,Rhinovirus A,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
10,Rhinovirus B,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
11,Rhinovirus C,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
12,Adenovirus 3,Anti‑Hexon,Hexon,0.00012,5,500,4166666.667,4166666.667
13,Adenovirus 5,Anti‑Hexon,Hexon,0.00012,5,500,4166666.667,4166666.667
14,Adenovirus 7,Anti‑Fiber,Fiber protein,0.00006,5,500,8333333.333,8333333.333
15,Parainfluenza 1,Anti‑HN,Hemagglutinin‑neuraminidase,0.000075,5,500,6666666.667,6666666.667
16,Parainfluenza 2,Anti‑HN,HN protein,0.000075,5,500,6666666.667,6666666.667
17,Parainfluenza 3,Anti‑F,Fusion protein,0.00007,5,500,7142857.143,7142857.143
18,Parainfluenza 4,Anti‑HN,HN protein,0.000075,5,500,6666666.667,6666666.667
19,Human Metapneumovirus,Anti‑F,Fusion protein,0.00007,5,500,7142857.143,7142857.143
20,Measles virus,Anti‑H,Hemagglutinin,0.00008,5,500,6250000,6250000
21,Mumps virus,Anti‑HN,HN protein,0.000075,5,500,6666666.667,6666666.667
22,Rubella virus,Anti‑E1,E1 glycoprotein,0.00006,5,500,8333333.333,8333333.333
23,Varicella‑Zoster,Anti‑gE,Glycoprotein E,0.00009,5,500,5555555.556,5555555.556
24,Cytomegalovirus,Anti‑gB,Glycoprotein B,0.00011,5,500,4545454.545,4545454.545
25,Epstein‑Barr virus,Anti‑gp350,gp350,0.00015,5,500,3333333.333,3333333.333
26,Human Bocavirus,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
27,Enterovirus D68,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
28,Enterovirus A71,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
29,Hantavirus,Anti‑Gn,Gn glycoprotein,0.0001,5,500,5000000,5000000
30,Lassa virus,Anti‑GP1,GP1,0.00006,5,500,8333333.333,8333333.333
31,Nipah virus,Anti‑G,Glycoprotein G,0.00009,5,500,5555555.556,5555555.556
32,Hendra virus,Anti‑G,Glycoprotein G,0.00009,5,500,5555555.556,5555555.556
33,SARS‑CoV‑2 Omicron,Anti‑Spike IgG,Spike,0.00018,5,500,2777777.778,2777777.778
34,SARS‑CoV‑2 Delta,Anti‑Spike IgG,Spike,0.00018,5,500,2777777.778,2777777.778
35,SARS‑CoV‑2 Alpha,Anti‑Spike IgG,Spike,0.00018,5,500,2777777.778,2777777.778
36,SARS‑CoV‑2 Beta,Anti‑Spike IgG,Spike,0.00018,5,500,2777777.778,2777777.778
37,SARS‑CoV‑2 Gamma,Anti‑Spike IgG,Spike,0.00018,5,500,2777777.778,2777777.778
38,Human Coronavirus 229E,Anti‑S,Spike,0.00015,5,500,3333333.333,3333333.333
39,Human Coronavirus NL63,Anti‑S,Spike,0.00015,5,500,3333333.333,3333333.333
40,Human Coronavirus OC43,Anti‑S,Spike,0.00015,5,500,3333333.333,3333333.333
41,Human Coronavirus HKU1,Anti‑S,Spike,0.00015,5,500,3333333.333,3333333.333
42,Influenza C,Anti‑HEF,HEF protein,0.00009,5,500,5555555.556,5555555.556
43,Influenza D,Anti‑HEF,HEF protein,0.00009,5,500,5555555.556,5555555.556
44,Human Parechovirus,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
45,Human Polyomavirus,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
46,Human Mastadenovirus C,Anti‑Hexon,Hexon,0.00012,5,500,4166666.667,4166666.667
47,Human Mastadenovirus B,Anti‑Fiber,Fiber,0.00006,5,500,8333333.333,8333333.333
48,Human Mastadenovirus E,Anti‑Penton,Penton,0.0001,5,500,5000000,5000000
49,Human Astrovirus,Anti‑Capsid,Capsid,0.00003,5,500,16666666.67,16666666.67
50,Norovirus GII,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
51,Norovirus GI,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
52,Rotavirus A,Anti‑VP7,VP7,0.0001,5,500,5000000,5000000
53,Rotavirus B,Anti‑VP4,VP4,0.00009,5,500,5555555.556,5555555.556
54,Rotavirus C,Anti‑VP6,VP6,0.00008,5,500,6250000,6250000
55,Human Reovirus,Anti‑σ1,Sigma‑1,0.00005,5,500,10000000,10000000
56,Human Orthopneumovirus,Anti‑F,Fusion protein,0.00007,5,500,7142857.143,7142857.143
57,Human Respirovirus,Anti‑HN,HN protein,0.000075,5,500,6666666.667,6666666.667
58,Human Rubulavirus,Anti‑HN,HN protein,0.000075,5,500,6666666.667,6666666.667
59,Human Morbillivirus,Anti‑H,Hemagglutinin,0.00008,5,500,6250000,6250000
