virus_id,virus_name,mass_fg,antibody,antigen,frequency_mhz,deposition_rate_s,temperature_c,humidity_pct,flow_rate,time_to_detection_s
1,COVID‑19 (SARS‑CoV‑2),0.00018,Anti‑Spike IgG,Spike (S1),1.697456757,0.35,23,20,1.5,16
2,Influenza A (H1N1),0.000084,Anti‑HA,Hemagglutinin (HA),1.697456757,0.43,24,25,1.3,18
3,Influenza A (H3N2),0.000084,Anti‑HA,Hemagglutinin,1.697456757,0.45,27,21,1.7,14
4,Influenza B,0.000084,Anti‑HA,Hemagglutinin,1.697456757,0.30,29,33,1.2,13
5,SARS‑CoV‑1,0.00018,Anti‑Spike IgG,Spike,1.697456757,0.30,31,26,1.6,18
6,MERS‑CoV,0.00020,Anti‑Spike IgG,Spike,1.697456757,0.35,20,27,1.1,19
7,RSV‑A,0.00007,Anti‑F protein,Fusion (F),1.697456757,0.37,25,23,1.8,20
8,RSV‑B,0.00009,Anti‑G protein,Attachment (G),1.697456757,0.36,21,22,1.5,14
9,Rhinovirus A,0.00003,Anti‑VP1,VP1,1.697456757,0.32,33,31,1.4,11
10,Rhinovirus B,0.00003,Anti‑VP1,VP1,1.697456757,0.41,26,24,1.25,15
11,Rhinovirus C,0.00003,Anti‑VP1,VP1,1.697456757,0.27,27,31,1.43,16
12,Adenovirus 3,0.00012,Anti‑Hexon,Hexon,1.697456757,0.42,23,26,1.33,17
13,Adenovirus 5,0.00012,Anti‑Hexon,Hexon,1.697456757,0.36,22,25,1.45,13
14,Adenovirus 7,0.00006,Anti‑Fiber,Fiber protein,1.697456757,0.41,31,33,1.66,12
15,Parainfluenza 1,0.000075,Anti‑HN,Hemagglutinin‑neuraminidase,1.697456757,0.25,24,26,1.5,18
16,Parainfluenza 2,0.000075,Anti‑HN,HN protein,1.697456757,0.35,31,37,1.3,17
17,Parainfluenza 3,0.00007,Anti‑F,Fusion protein,1.697456757,0.27,26,35,1.7,18
18,Parainfluenza 4,0.000075,Anti‑HN,HN protein,1.697456757,0.45,24,32,1.2,12
19,Human Metapneumovirus,0.00007,Anti‑F,Fusion protein,1.697456757,0.35,22,38,1.6,14.5
20,Measles virus,0.00008,Anti‑H,Hemagglutinin,1.697456757,0.43,32,31,1.1,16.6
21,Mumps virus,0.000075,Anti‑HN,HN protein,1.697456757,0.45,25,36,1.3,14.31
22,Rubella virus,0.00006,Anti‑E1,E1 glycoprotein,1.697456757,0.30,25,39,1.7,16
23,Varicella‑Zoster,0.00009,Anti‑gE,Glycoprotein E,1.697456757,0.30,31,32,1.2,14.51
24,Cytomegalovirus,0.00011,Anti‑gB,Glycoprotein B,1.697456757,0.35,20,35,1.6,14
25,Epstein‑Barr virus,0.00015,Anti‑gp350,gp350,1.697456757,0.37,25,30,1.1,17
26,Human Bocavirus,0.00003,Anti‑VP1,VP1,1.697456757,0.36,21,27,1.8,19
27,Enterovirus D68,0.00003,Anti‑VP1,VP1,1.697456757,0.32,33,29,1.5,13
28,Enterovirus A71,0.00003,Anti‑VP1,VP1,1.697456757,0.41,26,26,1.4,18
29,Hantavirus,0.00010,Anti‑Gn,Gn glycoprotein,1.697456757,0.27,27,24,1.25,19
30,Lassa virus,0.00006,Anti‑GP1,GP1,1.697456757,0.42,23,37,1.43,20
31,Nipah virus,0.00009,Anti‑G,Glycoprotein G,1.697456757,0.36,22,40,1.33,14
32,Hendra virus,0.00009,Anti‑G,Glycoprotein G,1.697456757,0.41,31,35,1.45,11
33,SARS‑CoV‑2 Omicron,0.00018,Anti‑Spike IgG,Spike,1.697456757,0.25,24,40,1.66,15
34,SARS‑CoV‑2 Delta,0.00018,Anti‑Spike IgG,Spike,1.697456757,0.35,31,26,1.2,16
35,SARS‑CoV‑2 Alpha,0.00018,Anti‑Spike IgG,Spike,1.697456757,0.27,26,27,1.5,17
36,SARS‑CoV‑2 Beta,0.00018,Anti‑Spike IgG,Spike,1.697456757,0.37,31,23,1.4,13
37,SARS‑CoV‑2 Gamma,0.00018,Anti‑Spike IgG,Spike,1.697456757,0.33,20,22,1.25,12
38,Human Coronavirus 229E,0.00015,Anti‑S,Spike,1.697456757,0.29,25,31,1.43,18
39,Human Coronavirus NL63,0.00015,Anti‑S,Spike,1.697456757,0.45,21,24,1.33,17
40,Human Coronavirus OC43,0.00015,Anti‑S,Spike,1.697456757,0.41,33,31,1.45,18
41,Human Coronavirus HKU1,0.00015,Anti‑S,Spike,1.697456757,0.32,26,26,1.66,12
42,Influenza C,0.00009,Anti‑HEF,HEF protein,1.697456757,0.45,27,25,1.5,14.5
43,Influenza D,0.00009,Anti‑HEF,HEF protein,1.697456757,0.25,23,33,1.3,15
44,Human Parechovirus,0.00003,Anti‑VP1,VP1,1.697456757,0.35,22,26,1.7,15
45,Human Polyomavirus,0.00003,Anti‑VP1,VP1,1.697456757,0.27,31,37,1.2,16
46,Human Mastadenovirus C,0.00012,Anti‑Hexon,Hexon,1.697456757,0.45,24,35,1.6,18
47,Human Mastadenovirus B,0.00006,Anti‑Fiber,Fiber,1.697456757,0.35,31,32,1.1,14
48,Human Mastadenovirus E,0.00010,Anti‑Penton,Penton,1.697456757,0.43,26,38,1.4,13
49,Human Astrovirus,0.00003,Anti‑Capsid,Capsid,1.697456757,0.45,31,31,1.25,18
50,Norovirus GII,0.00003,Anti‑VP1,VP1,1.697456757,0.30,20,36,1.43,19
51,Norovirus GI,0.00003,Anti‑VP1,VP1,1.697456757,0.30,25,39,1.33,20
52,Rotavirus A,0.00010,Anti‑VP7,VP7,1.697456757,0.35,21,32,1.45,14
53,Rotavirus B,0.00009,Anti‑VP4,VP4,1.697456757,0.37,33,35,1.66,11
54,Rotavirus C,0.00008,Anti‑VP6,VP6,1.697456757,0.36,26,30,1.20,15
55,Human Reovirus,0.00005,Anti‑σ1,Sigma‑1,1.697456757,0.32,27,27,1.40,16
56,Human Orthopneumovirus,0.00007,Anti‑F,Fusion protein,1.697456757,0.41,23,29,1.45,15
57,Human Respirovirus,0.000075,Anti‑HN,HN protein,1.697456757,0.27,22,26,1.66,15
58,Human Rubulavirus,0.000075,Anti‑HN,HN protein,1.697456757,0.42,31,20,1.20,16
59,Human Morbillivirus,0.00008,Anti‑H,Hemagglutinin,1.697456757,0.36,24,25,1.50,17
60,Human Alphavirus,0.00005,Anti‑E2,E2 glycoprotein,1.697456757,0.42,31,21,1.40,13
61,Human Betacoronavirus,0.00015,Anti‑S,Spike,1.697456757,0.36,26,33,1.25,12
62,Human Gammacoronavirus,0.00015,Anti‑S,Spike,1.697456757,0.41,31,26,1.43,18
63,Human Deltacoronavirus,0.00015,Anti‑S,Spike,1.697456757,0.25,20,27,1.33,17
64,Avian Influenza H5N1,0.000084,Anti‑HA,Hemagglutinin,1.697456757,0.35,25,23,1.45,18
