ID,Ion/Analyte,Mass_g,Concentration_ML_x,Dilution_Volume_mL,Frequency_f1_MHz,Sample,Concentration_ML_y,Delta_f_MHz,Delta_m_g_cm2,Electrode_Mass_m_g,Frequency_f2_MHz
1,Air,, , ,1.697456757,Air,,3e-10,3.22e-15,1.82e-05,1.697456757
2,Na+,0.5,0.1,34,1.69399241,Na+,0.1,7e-08,7.52e-13,1.82e-05,1.69399248
3,Na+,0.5,0.12,28.48,1.693956482,Na+,0.12,2e-08,2.15e-13,1.82e-05,1.69395684
4,Na+,0.5,0.125,27.6,1.693977227,Na+,0.125,1.83e-08,1.97e-13,1.82e-05,1.69397741
5,Na+,0.5,0.13,26.54,1.693997972,Na+,0.13,7e-09,7.52e-13,1.82e-05,1.693997979
6,Na+,0.5,0.135,25,1.693999773,Na+,0.135,4e-09,4.29e-13,1.82e-05,1.693999777
7,Na+,0.5,0.14,24.64,1.694001574,Na+,0.14,3e-09,3.22e-13,1.82e-05,1.694001574
8,Na+,0.5,0.145,23.79,1.694000737,Na+,0.145,2e-09,2.15e-14,1.82e-05,1.694000739
9,Na+,0.5,0.15,23,1.694999899,Na+,0.15,8e-10,8.59e-15,1.82e-05,1.6949999
10,Na+,0.5,0.155,22.25,1.694999667,Na+,0.155,2e-10,2.15e-15,1.82e-05,1.694999668
11,Mg2+,0.005,0.0003,9.666,0.025,Mg2+,0.0003,0.025,2.69e-07,1.82e-05,0.05
12,Mg2+,0.005,0.0005,5.8,0.05,Mg2+,0.0005,0.05,5.37e-07,1.82e-05,0.1
13,Mg2+,0.005,0.0007,4.143,0.6,Mg2+,0.0007,0.03,3.22e-07,1.82e-05,0.75
14,Mg2+,0.005,0.0009,3.222,1.693986,Mg2+,0.0009,0.00022,2.36e-09,1.82e-05,1.694206
15,Mg2+,0.005,0.001,2.9,1.693896,Mg2+,0.001,0.000101,1.07e-09,1.82e-05,1.693997
16,Ca2+,0.005,0.001,9.3,0.7,Ca2+,0.001,0.03,3.22e-07,1.82e-05,0.73
17,Ca2+,0.005,0.002,4.65,0.7,Ca2+,0.002,0.02,2.15e-07,1.82e-05,1.1
18,Ca2+,0.005,0.003,3.1,1.693994,Ca2+,0.003,3e-05,3.22e-10,1.82e-05,1.694024
19,Ca2+,0.005,0.004,2.3,1.693994,Ca2+,0.004,8e-06,8.59e-11,1.82e-05,1.694002
20,Ca2+,0.005,0.005,1.8,1.693992,Ca2+,0.005,4e-06,4.29e-11,1.82e-05,1.693996
21,K+,0.005,0.003,11.666,0.2,K+,0.003,0.5,5.37e-06,1.82e-05,0.7
22,K+,0.005,0.004,8.75,0.5,K+,0.004,0.45,4.83e-06,1.82e-05,0.95
23,K+,0.005,0.005,7,1.0969965,K+,0.005,1.3e-05,1.39e-10,1.82e-05,1.0970095
24,K+,0.005,0.006,5.833,1.693996,K+,0.006,1e-05,1.07e-10,1.82e-05,1.694006
25,K+,0.005,0.007,5,1.693995,K+,0.007,9e-06,9.67e-11,1.82e-05,1.694004
26,Troponin Sample 1,,,10,1.6939997,Troponin (10 mL),,6e-07,6.44e-11,1.82e-05,1.6940003
27,Troponin Sample 2,,,100,1.693999257,Troponin (100 mL),,2e-10,2.15e-15,1.82e-05,1.693999257
28,Troponin Sample 3,,,1000,1.693999264,Troponin (1000 mL),,4e-09,4.29e-14,1.82e-05,1.693999268
