ID,Ion/Analyte,Mass_g,Concentration_ML,Dilution_Volume_mL,Frequency_f1_MHz
1,Air,, , ,1.697456757
2,Na+,0.5,0.1,34,1.69399241
3,Na+,0.5,0.12,28.48,1.693956482
4,Na+,0.5,0.125,27.6,1.693977227
5,Na+,0.5,0.13,26.54,1.693997972
6,Na+,0.5,0.135,25,1.693999773
7,Na+,0.5,0.14,24.64,1.694001574
8,Na+,0.5,0.145,23.79,1.694000737
9,Na+,0.5,0.15,23,1.694999899
10,Na+,0.5,0.155,22.25,1.694999667
11,Mg2+,0.005,0.0003,9.666,0.025
12,Mg2+,0.005,0.0005,5.8,0.05
13,Mg2+,0.005,0.0007,4.143,0.6
14,Mg2+,0.005,0.0009,3.222,1.693986
15,Mg2+,0.005,0.001,2.9,1.693896
16,Ca2+,0.005,0.001,9.3,0.7
17,Ca2+,0.005,0.002,4.65,0.7
18,Ca2+,0.005,0.003,3.1,1.693994
19,Ca2+,0.005,0.004,2.3,1.693994
20,Ca2+,0.005,0.005,1.8,1.693992
21,K+,0.005,0.003,11.666,0.2
22,K+,0.005,0.004,8.75,0.5
23,K+,0.005,0.005,7,1.0969965
24,K+,0.005,0.006,5.833,1.693996
25,K+,0.005,0.007,5,1.693995
26,Troponin Sample 1,,,10,1.6939997
27,Troponin Sample 2,,,100,1.693999257
28,Troponin Sample 3,,,1000,1.693999264
