ID,Sample,Concentration_ML,Delta_f_MHz,Delta_m_g_cm2,Electrode_Mass_m_g,Frequency_f2_MHz
1,Air,,3e-10,3.22e-15,1.82e-5,1.697456757
2,Na+,0.1,7e-8,7.52e-13,1.82e-5,1.69399248
3,Na+,0.12,2e-8,2.15e-13,1.82e-5,1.69395684
4,Na+,0.125,1.83e-8,1.97e-13,1.82e-5,1.69397741
5,Na+,0.13,7e-9,7.52e-13,1.82e-5,1.693997979
6,Na+,0.135,4e-9,4.29e-13,1.82e-5,1.693999777
7,Na+,0.14,3e-9,3.22e-13,1.82e-5,1.694001574
8,Na+,0.145,2e-9,2.15e-14,1.82e-5,1.694000739
9,Na+,0.15,8e-10,8.59e-15,1.82e-5,1.6949999
10,Na+,0.155,2e-10,2.15e-15,1.82e-5,1.694999668
11,Mg2+,0.0003,0.025,2.69e-7,1.82e-5,0.05
12,Mg2+,0.0005,0.05,5.37e-7,1.82e-5,0.1
13,Mg2+,0.0007,0.03,3.22e-7,1.82e-5,0.75
14,Mg2+,0.0009,2.2e-4,2.36e-9,1.82e-5,1.694206
15,Mg2+,0.001,1.01e-4,1.07e-9,1.82e-5,1.693997
16,Ca2+,0.001,0.03,3.22e-7,1.82e-5,0.73
17,Ca2+,0.002,0.02,2.15e-7,1.82e-5,1.1
18,Ca2+,0.003,3e-5,3.22e-10,1.82e-5,1.694024
19,Ca2+,0.004,0.8e-5,8.59e-11,1.82e-5,1.694002
20,Ca2+,0.005,0.4e-5,4.29e-11,1.82e-5,1.693996
21,K+,0.003,0.5,5.37e-6,1.82e-5,0.7
22,K+,0.004,0.45,4.83e-6,1.82e-5,0.95
23,K+,0.005,1.3e-5,1.39e-10,1.82e-5,1.0970095
24,K+,0.006,1e-5,1.07e-10,1.82e-5,1.694006
25,K+,0.007,9e-6,9.67e-11,1.82e-5,1.694004
26,Troponin (10 mL),,6e-7,6.44e-11,1.82e-5,1.6940003
27,Troponin (100 mL),,2e-10,2.15e-15,1.82e-5,1.693999257
28,Troponin (1000 mL),,4e-9,4.29e-14,1.82e-5,1.693999268
