virus_id,device_id,virus_count_per_device
1,4,3888888.888889
2,4,8333333.333333
3,4,8333333.333333
4,4,8333333.333333
5,4,3888888.888889
6,4,3500000
7,4,10000000
8,4,7777777.777778
9,4,23333333.333333
10,4,23333333.333333
11,4,23333333.333333
12,4,5833333.333333
13,4,5833333.333333
14,4,11666666.666667
15,4,9333333.333333
16,4,9333333.333333
17,4,10000000
18,4,9333333.333333
19,4,10000000
20,4,8750000
21,4,9333333.333333
22,4,11666666.666667
23,4,7777777.777778
24,4,6363636.363636
25,4,4666666.666667
26,4,23333333.333333
27,4,23333333.333333
28,4,23333333.333333
29,4,7000000
30,4,11666666.666667
31,4,7777777.777778
32,4,7777777.777778
33,4,3888888.888889
34,4,3888888.888889
35,4,3888888.888889
36,4,3888888.888889
37,4,3888888.888889
38,4,4666666.666667
39,4,4666666.666667
40,4,4666666.666667
41,4,4666666.666667
42,4,7777777.777778
43,4,7777777.777778
44,4,23333333.333333
45,4,23333333.333333
46,4,5833333.333333
47,4,11666666.666667
48,4,7000000
49,4,23333333.333333
50,4,23333333.333333
51,4,23333333.333333
52,4,7000000
53,4,7777777.777778
54,4,8750000
55,4,14000000
56,4,10000000
57,4,9333333.333333
58,4,9333333.333333
59,4,8750000
60,4,14000000
61,4,4666666.666667
62,4,4666666.666667
63,4,4666666.666667
64,4,8333333.333333
65,4,8333333.333333
66,4,8333333.333333
67,4,8333333.333333
68,4,8333333.333333
69,4,8333333.333333
70,4,23333333.333333
71,4,23333333.333333
72,4,23333333.333333
73,4,23333333.333333
74,4,23333333.333333
75,4,23333333.333333
76,4,23333333.333333
77,4,7777777.777778
78,4,7000000
79,4,11666666.666667
80,4,7777777.777778
81,4,4666666.666667
82,4,23333333.333333
83,4,8750000
84,4,23333333.333333
85,4,23333333.333333
86,4,23333333.333333
87,4,35000000
88,4,23333333.333333
89,4,23333333.333333
90,4,23333333.333333
91,4,23333333.333333
92,4,23333333.333333
93,4,23333333.333333
94,4,14000000
95,4,7000000
96,4,23333333.333333
97,4,23333333.333333
98,4,5833333.333333
99,4,5833333.333333
100,4,11666666.666667
